trial,method,message_bits,text_length,anchor_len,bit_accuracy,exact_recovery,crc_pass,alignment_score,clean_token_len,attacked_token_len,observed_bits_len,recovered_bits
0,bimark_position_vote,16,160,6,1.0,1.0,,,162,162,160,0110010100111111
0,bimark_hamming74,16,160,6,1.0,1.0,,,162,162,160,0110010100111111
0,syncmark_position_vote,16,160,6,1.0,1.0,True,,162,162,160,0110010100111111
0,syncmark_alignment,16,160,6,1.0,1.0,True,118.99999999999972,162,162,160,0110010100111111
1,bimark_position_vote,16,160,6,1.0,1.0,,,162,162,160,1010100111011000
1,bimark_hamming74,16,160,6,1.0,1.0,,,162,162,160,1010100111011000
1,syncmark_position_vote,16,160,6,1.0,1.0,True,,162,162,160,1010100111011000
1,syncmark_alignment,16,160,6,1.0,1.0,True,115.99999999999972,162,162,160,1010100111011000
2,bimark_position_vote,16,160,6,1.0,1.0,,,162,162,160,0110110101100101
2,bimark_hamming74,16,160,6,1.0,1.0,,,162,162,160,0110110101100101
2,syncmark_position_vote,16,160,6,1.0,1.0,True,,162,162,160,0110110101100101
2,syncmark_alignment,16,160,6,1.0,1.0,True,115.99999999999974,162,162,160,0110110101100101
3,bimark_position_vote,16,160,6,1.0,1.0,,,162,162,160,1110000010111101
3,bimark_hamming74,16,160,6,1.0,1.0,,,162,162,160,1110000010111101
3,syncmark_position_vote,16,160,6,1.0,1.0,True,,162,162,160,1110000010111101
3,syncmark_alignment,16,160,6,1.0,1.0,True,112.99999999999972,162,162,160,1110000010111101
4,bimark_position_vote,16,160,6,1.0,1.0,,,162,162,160,0010001000100011
4,bimark_hamming74,16,160,6,1.0,1.0,,,162,162,160,0010001000100011
4,syncmark_position_vote,16,160,6,1.0,1.0,True,,162,162,160,0010001000100011
4,syncmark_alignment,16,160,6,1.0,1.0,True,118.99999999999972,162,162,160,0010001000100011
5,bimark_position_vote,16,160,6,1.0,1.0,,,162,162,160,1001110011011010
5,bimark_hamming74,16,160,6,1.0,1.0,,,162,162,160,1001110011011010
5,syncmark_position_vote,16,160,6,1.0,1.0,True,,162,162,160,1001110011011010
5,syncmark_alignment,16,160,6,1.0,1.0,True,112.99999999999974,162,162,160,1001110011011010
6,bimark_position_vote,16,160,6,1.0,1.0,,,162,162,160,0110101011110101
6,bimark_hamming74,16,160,6,1.0,1.0,,,162,162,160,0110101011110101
6,syncmark_position_vote,16,160,6,1.0,1.0,True,,162,162,160,0110101011110101
6,syncmark_alignment,16,160,6,1.0,1.0,True,121.99999999999972,162,162,160,0110101011110101
7,bimark_position_vote,16,160,6,1.0,1.0,,,162,162,160,1011000001101101
7,bimark_hamming74,16,160,6,1.0,1.0,,,162,162,160,1011000001101101
7,syncmark_position_vote,16,160,6,1.0,1.0,True,,162,162,160,1011000001101101
7,syncmark_alignment,16,160,6,1.0,1.0,True,118.99999999999972,162,162,160,1011000001101101
8,bimark_position_vote,16,160,6,1.0,1.0,,,162,162,160,1111011010001000
8,bimark_hamming74,16,160,6,1.0,1.0,,,162,162,160,1111011010001000
8,syncmark_position_vote,16,160,6,1.0,1.0,True,,162,162,160,1111011010001000
8,syncmark_alignment,16,160,6,1.0,1.0,True,109.99999999999979,162,162,160,1111011010001000
9,bimark_position_vote,16,160,6,1.0,1.0,,,162,162,160,1100101010010111
9,bimark_hamming74,16,160,6,1.0,1.0,,,162,162,160,1100101010010111
9,syncmark_position_vote,16,160,6,1.0,1.0,True,,162,162,160,1100101010010111
9,syncmark_alignment,16,160,6,1.0,1.0,True,112.99999999999974,162,162,160,1100101010010111
10,bimark_position_vote,16,160,6,1.0,1.0,,,162,162,160,1100010000001110
10,bimark_hamming74,16,160,6,1.0,1.0,,,162,162,160,1100010000001110
10,syncmark_position_vote,16,160,6,1.0,1.0,True,,162,162,160,1100010000001110
10,syncmark_alignment,16,160,6,1.0,1.0,True,112.99999999999972,162,162,160,1100010000001110
11,bimark_position_vote,16,160,6,1.0,1.0,,,162,162,160,1011100100000011
11,bimark_hamming74,16,160,6,1.0,1.0,,,162,162,160,1011100100000011
11,syncmark_position_vote,16,160,6,1.0,1.0,True,,162,162,160,1011100100000011
11,syncmark_alignment,16,160,6,1.0,1.0,True,121.99999999999972,162,162,160,1011100100000011
12,bimark_position_vote,16,160,6,1.0,1.0,,,162,162,160,1010000101010011
12,bimark_hamming74,16,160,6,1.0,1.0,,,162,162,160,1010000101010011
12,syncmark_position_vote,16,160,6,1.0,1.0,True,,162,162,160,1010000101010011
12,syncmark_alignment,16,160,6,1.0,1.0,True,118.99999999999972,162,162,160,1010000101010011
13,bimark_position_vote,16,160,6,1.0,1.0,,,162,162,160,0101101000010010
13,bimark_hamming74,16,160,6,1.0,1.0,,,162,162,160,0101101000010010
13,syncmark_position_vote,16,160,6,1.0,1.0,True,,162,162,160,0101101000010010
13,syncmark_alignment,16,160,6,1.0,1.0,True,118.99999999999972,162,162,160,0101101000010010
14,bimark_position_vote,16,160,6,1.0,1.0,,,162,162,160,1011100101011001
14,bimark_hamming74,16,160,6,1.0,1.0,,,162,162,160,1011100101011001
14,syncmark_position_vote,16,160,6,1.0,1.0,True,,162,162,160,1011100101011001
14,syncmark_alignment,16,160,6,1.0,1.0,True,112.9999999999998,162,162,160,1011100101011001
15,bimark_position_vote,16,160,6,1.0,1.0,,,162,162,160,0101101010000010
15,bimark_hamming74,16,160,6,1.0,1.0,,,162,162,160,0101101010000010
15,syncmark_position_vote,16,160,6,0.9375,0.0,False,,162,162,160,0101101010010010
15,syncmark_alignment,16,160,6,0.9375,0.0,False,121.99999999999972,162,162,160,0101101010010010
16,bimark_position_vote,16,160,6,1.0,1.0,,,162,162,160,1001100111001100
16,bimark_hamming74,16,160,6,1.0,1.0,,,162,162,160,1001100111001100
16,syncmark_position_vote,16,160,6,1.0,1.0,True,,162,162,160,1001100111001100
16,syncmark_alignment,16,160,6,1.0,1.0,True,118.99999999999972,162,162,160,1001100111001100
17,bimark_position_vote,16,160,6,1.0,1.0,,,162,162,160,0100010000100101
17,bimark_hamming74,16,160,6,1.0,1.0,,,162,162,160,0100010000100101
17,syncmark_position_vote,16,160,6,1.0,1.0,True,,162,162,160,0100010000100101
17,syncmark_alignment,16,160,6,1.0,1.0,True,121.99999999999972,162,162,160,0100010000100101
18,bimark_position_vote,16,160,6,1.0,1.0,,,162,162,160,1010101110000101
18,bimark_hamming74,16,160,6,1.0,1.0,,,162,162,160,1010101110000101
18,syncmark_position_vote,16,160,6,1.0,1.0,True,,162,162,160,1010101110000101
18,syncmark_alignment,16,160,6,1.0,1.0,True,118.99999999999972,162,162,160,1010101110000101
19,bimark_position_vote,16,160,6,1.0,1.0,,,162,162,160,1001001100011111
19,bimark_hamming74,16,160,6,1.0,1.0,,,162,162,160,1001001100011111
19,syncmark_position_vote,16,160,6,1.0,1.0,True,,162,162,160,1001001100011111
19,syncmark_alignment,16,160,6,1.0,1.0,True,109.99999999999973,162,162,160,1001001100011111
20,bimark_position_vote,16,160,6,1.0,1.0,,,162,162,160,0011100001100101
20,bimark_hamming74,16,160,6,1.0,1.0,,,162,162,160,0011100001100101
20,syncmark_position_vote,16,160,6,1.0,1.0,True,,162,162,160,0011100001100101
20,syncmark_alignment,16,160,6,1.0,1.0,True,118.99999999999972,162,162,160,0011100001100101
21,bimark_position_vote,16,160,6,1.0,1.0,,,162,162,160,1001101110110010
21,bimark_hamming74,16,160,6,1.0,1.0,,,162,162,160,1001101110110010
21,syncmark_position_vote,16,160,6,0.9375,0.0,False,,162,162,160,1001101110110011
21,syncmark_alignment,16,160,6,0.9375,0.0,False,109.99999999999972,162,162,160,1001101110110011
22,bimark_position_vote,16,160,6,1.0,1.0,,,162,162,160,0011010111010100
22,bimark_hamming74,16,160,6,1.0,1.0,,,162,162,160,0011010111010100
22,syncmark_position_vote,16,160,6,1.0,1.0,True,,162,162,160,0011010111010100
